id,name,description,created_at,updated_at,slug,type_dmg,role_id,position
1,Aisha,"A daughter of a noble family from Orvel. As one of the most talented wizards in the Tower of Sage, she has been granted the title of 'Purple' in recognition of her magic capability. She was raised in the Tower of Sage since childhood at her parents' request, but she still retains her dignity as an aristocrat. As a child, she never realized why her parents sent her away on her own, but now she understands their reasons. Now, she is back home, and is always attended by her handmaiden, who is like another member of the family to her.",2020-06-07 12:29:44.963669,2020-06-16 09:33:37.857913,aisha,Magic,6,Back
2,Annette,"A genius technomagi from the Kingdom of Orvelia. She is highly optimistic, and failure never seems to bother her. She dreams of inventing a device that would allow anyone to handle magic one day. She has a magically engineered assistant whom she brought to life after years of research. Following the arrival of the Demons, she incorporated her research into developing weapons that would allow anyone to fight against the invaders.",2020-06-07 13:42:05.74031,2020-06-16 09:29:49.567342,annette,Magic,5,Middle
3,Arch,"An Angel warrior who descended from the Heavens to punish the Demons and stop the spread of chaos on earth. His delegated tasks include scouting, reconnaissance, and execution of any Demons found on earth. He has a strong sense of responsibility and is quick and decisive against any injustice. He truly loves Mankind and all the life forms that inhabit the earth. This is why he strives to prevent the Demons from defiling this world.",2020-06-07 13:42:37.170566,2020-06-16 09:27:33.176821,arch,Magic,4,Back
4,Artemia,"Penteonia is an impenetrable kingdom. Even the Demon Army could not breach its defense 100 years ago. Ruling over this iron kingdom is Artemia, the Empress of Light. Ever since childhood, she has lived under the weight of responsibility of the throne she would eventually inherit. When she finally realized that the victory of her kingdom was only made possible by the sacrifices of her people, she swore to never hide from her duties. She would face the pressure of royal responsibility with courage. Penteonia has historically been a selfish kingdom, only interested in its own safety. Now, with Artemia as its ruler, everything is about to change.",2020-06-07 13:42:56.974227,2020-06-16 09:33:51.255851,artemia,Magic,6,Back
5,Aselica,"A powerful angel who defends the haven of angels. Even among the Angels who wield the power of light, she has a special connection to the sun, whose divine light she uses to fight against darkness. She is tasked with the protection of the souls of other angels awaiting resurrection. When the Holy Sword reappeared in the world, she heeded the divine call to join the new protector of the world. She will see to it that no chosen warrior would ever succumb to the darkness again.",2020-06-07 13:43:12.562846,2020-06-16 08:43:45.156178,aselica,Magic,1,Front
6,Baudouin,"As the most unlikely priest in the Church of Lua, Baudouin is, in a word, a maverick. Since childhood, he has always been a black sheep in the Church of Lua that emphasizes piety. He entered the church with the help of the High Priest Berman, but the religious life was painfully ill-suited for him. One day, however, he suddenly decided to quit his deviant ways, and started following the path of the high priesthood.",2020-06-07 13:43:30.893268,2020-06-16 09:37:18.98589,baudouin,Magic,7,Middle
7,Bernheim,"Born in a noble family in Penteonia, Bernheim von Lachelima was gifted with outstanding martial skills. He had the strength of a giant and excellent judgment, so it was undeniable that he would make a great knight. However, he had a fatal flaw that kept him from being successful in Penteonia: He could not use the power of light at all. No matter how hard he tried, how strong his faith and will were, the power of light did not answer to his calling. Although all he ever wanted was to serve his nation and the Queen, the fact that his incapability was keeping him from being more than a low-level knight frustrated him. Bernheim did not give up and trained hard to handle the power of light, but his constant lack of progress slowly started to weaken his mind. One day, he visited the Central Church to study the power of light and its mechanism. It was when he was quietly reading a book that he heard a sound. It was an angelic voice calling for him. The long-accumulated frustration of Bernheim led him to where the voice was coming from, a room sealed with multiple magic barriers in the basement of the church. As he moved closer to it, the barriers vanished as if they were never there. What he saw inside the room was a sword in the shape of an angel, exuding blinding light. 'You are the chosen one', said the sword, drawing him near with holy light. Thinking that his relentless effort had finally paid off, he slowly grasped the sword. Then, his mind was drawn into the deepest darkness. The darkness that captured him—it was the endless shadowy void of futility. A vessel that could never be filled; a whole other universe. In the vast darkness, Bernheim felt his mind deteriorating and his existence fading away. His mind and body was slowly being encroached by a dark, ominous power. However, Bernheim was also one of the Penteonian Knights, a Knight of Light who swore not to be defeated by darkness. He rose from the shrouding darkness, regaining consciousness with his indomitable spirit. When he came to his senses, lying on the floor, there was a giant black sword in his hand. The demonic sword with the appearance of a demon was laughing and mocking the knight who broke away from the path of light. Eventually, Bernheim was banished from Penteonia, and he started to live a new life as a mercenary in Vespia Empire with that malicious, foul-mouthed demonic sword in his hand...",2020-06-07 13:44:21.707812,2020-06-16 09:08:43.941497,bernheim,Magic,2,Front
8,Cain,"Ancient Sekireinel was a kingdom blessed with eternal prosperity under the rule of Cain, the greatest king that has ever ruled Sekireinel. Descendants of the desert addess Cain as the God King, as it was their way of expressing their respect to the flawless, god-like king. The people of the desert praised and followed Cain's overwhelming charisma, and Cain in return, gifted them with the fairest rule, and showed endless generosity and benevolence to his people. In Contrast, against those who would threaten his kingdom, Cain did not show any mercy. He ruthlessly tracked down and killed all those who threatened the peace of his kingdom, causing fear within the nations outside. However, deep inside the majestic, ruthless God King who asserted his reign over the kingdom, there lied a deep loneliness. When alone, the God King would contemplate endlessly. It was Laias who held Cain's hands when he was most vulnerable, and Cain fell in love with Laias who sang for him. Cain has since strongly expressed his love to Laias, eager to help Laias fulfill anything she wants.",2020-06-07 13:45:11.652127,2020-06-16 09:34:05.173604,cain,Physical,6,Middle
9,Cassandra,"She's the owner of 'Gold Bar,' the biggest and the most luxurious tavern in Vespia. Beneath its flashy exterior, the tavern actually serves as a secret meeting place for the social elites, where invaluable secret information is constantly exchanged. Her natural charm and conversation skills can easily break down personal barriers and win the trust of others. Her true identity is a dealer of secret information and weapons.",2020-06-07 13:45:42.907539,2020-06-16 09:37:31.786925,cassandra,Magic,7,Back
10,Cecilia,"A girl that dreams of a world without injustice. Cecilia, also known as the Crimson Wind of Justice, defeats enemies with her windily kicks, flying her red ribbon in the air. Her grandfather is Ricardo, the captain of Orvelia Holy Knights. She grew up watching her grandfather render justice with his heart of steel, and now dreams of realizing justice and eradicating the evil in the Empire as a member of the Resistance. Ricardo is worried for his little granddaughter since her pursuit of justice might lead her to danger. However, her shouts and kicks are always dynamic and heroic, and such worries don't bother her at all.",2020-06-07 13:46:08.937778,2020-06-16 09:30:05.290753,cecilia,Physical,5,Front
