id,name,value,created_at,updated_at,role_id,stat_type,notice
1,Crit,50,2020-06-07 10:07:45.205586,2020-06-07 10:07:45.205586,1,class,1
2,P.Block,100,2020-06-07 10:09:43.237435,2020-06-07 10:09:43.237435,1,class,7
3,M.Block,100,2020-06-07 10:09:47.26713,2020-06-07 10:09:47.26713,1,class,8
4,P.Tough,250,2020-06-07 10:10:01.224998,2020-06-07 10:10:01.224998,1,class,11
5,M.Tough,250,2020-06-07 10:10:04.298619,2020-06-07 10:10:04.298619,1,class,12
6,Crit,150,2020-06-07 10:13:27.42496,2020-06-07 10:13:27.42496,2,class,1
7,Penetration,150,2020-06-07 10:13:34.325552,2020-06-07 10:13:34.325552,2,class,3
8,ACC,100,2020-06-07 10:13:40.176515,2020-06-07 10:13:40.176515,2,class,4
9,P.Dodge,100,2020-06-07 10:13:47.368522,2020-06-07 10:13:47.368522,2,class,5
10,M.Dodge,100,2020-06-07 10:13:50.969412,2020-06-07 10:13:50.969412,2,class,6
11,CC Resist,150,2020-06-07 10:14:00.383327,2020-06-07 10:14:00.383327,2,class,16
12,Crit,200,2020-06-07 10:14:09.632804,2020-06-07 10:14:09.632804,3,class,1
13,Crit DMG,30,2020-06-07 10:14:15.233518,2020-06-07 10:14:15.233518,3,class,2
14,ACC,100,2020-06-07 10:14:20.79461,2020-06-07 10:14:20.79461,3,class,4
15,P.Dodge,200,2020-06-07 10:14:27.570486,2020-06-07 10:14:27.570486,3,class,5
16,M.Dodge,200,2020-06-07 10:14:30.539704,2020-06-07 10:14:30.539704,3,class,6
17,Crit,150,2020-06-07 10:14:37.982699,2020-06-07 10:14:37.982699,4,class,1
18,Penetration,250,2020-06-07 10:14:43.80951,2020-06-07 10:14:43.80951,4,class,3
19,ACC,100,2020-06-07 10:14:48.570904,2020-06-07 10:14:48.570904,4,class,4
20,Crit,150,2020-06-07 10:16:10.56233,2020-06-07 10:16:10.56233,5,class,1
21,Crit DMG,50,2020-06-07 10:16:16.866591,2020-06-07 10:16:16.866591,5,class,2
22,Penetration,100,2020-06-07 10:16:27.834747,2020-06-07 10:16:27.834747,5,class,3
23,ACC,200,2020-06-07 10:18:12.172771,2020-06-07 10:18:12.172771,5,class,4
24,Crit,100,2020-06-07 10:18:19.34013,2020-06-07 10:18:19.34013,6,class,1
25,Penetration,150,2020-06-07 10:18:26.262981,2020-06-07 10:18:26.262981,6,class,3
26,ACC,100,2020-06-07 10:18:31.275613,2020-06-07 10:18:31.275613,6,class,4
27,M.Dodge,200,2020-06-07 10:18:36.625598,2020-06-07 10:18:36.625598,6,class,6
28,M.Block,250,2020-06-07 10:18:42.70958,2020-06-07 10:18:42.70958,6,class,8
29,Crit,100,2020-06-07 10:18:49.273738,2020-06-07 10:18:49.273738,7,class,1
30,ACC,100,2020-06-07 10:18:54.159452,2020-06-07 10:18:54.159452,7,class,4
31,M.Block,500,2020-06-07 10:18:59.669923,2020-06-07 10:18:59.669923,7,class,8
32,M.Block DEF,250,2020-06-07 10:19:12.315421,2020-06-07 10:19:12.315421,7,class,10
33,M.Tough,150,2020-06-07 10:19:19.422677,2020-06-07 10:19:19.422677,7,class,12
34,MAX HP,1706672,2020-06-16 11:19:18.554707,2020-06-16 11:19:18.554707,1,base,
35,ATK,19792,2020-06-16 11:19:28.625843,2020-06-16 11:19:28.625843,1,base,
36,P.Def,8792,2020-06-16 11:19:35.601024,2020-06-16 11:19:35.601024,1,base,
37,M.Def,6840,2020-06-16 11:19:41.31834,2020-06-16 11:19:41.31834,1,base,
38,MAX HP,1449520,2020-06-16 11:19:51.546089,2020-06-16 11:19:51.546089,2,base,
39,ATK,22488,2020-07-31 18:10:26.861765,2020-07-31 18:10:26.861765,2,base,
40,P.Def,7328,2020-06-16 11:20:02.34629,2020-06-16 11:20:02.34629,2,base,
