id,name,description,mana,created_at,updated_at,char_id,cooldown,skill_number,parent_id
1,Mystic Barrage,"Deals 357000 M.DMG to enemies within a small range. Upon a Crit Hit, cooldown is reduced by 1 sec",2,2020-06-24 12:42:42.471089,2020-06-24 12:42:42.471089,1,8,1,
2,Destruction Ray,"Every 0.5 sec, deals 104294 M.DMG to enemies in a straight line. After 5 sec, consumes 3% of mana every 0.5 sec while DMG is increased by 100%. Max duration is 10 sec",2,2020-06-24 12:43:13.047397,2020-06-24 12:43:13.047397,1,13,2,
3,Torrential Rainfall,"Deals 590490 M.DMG to random enemies for 3 sec, and reduces target's M.DEF by 5%. Can be stacked up to max 5 times",3,2020-06-24 12:43:38.428871,2020-06-24 12:43:38.428871,1,17,3,
4,Mystic Boost,"Upon a Crit Hit, deals extra 32814 M.DMG to the enemy",NULL,2020-06-24 12:43:56.288871,2020-06-24 12:43:56.288871,1,NULL,4,
5,Blasting Ray,"Attacks enemies in a straight line, dealing 233135 M.DMG, and hit enemies take 25% increased M.DMG. If the skill is used when in Overcharge state, deals 233135 extra M.DMG, and hit enemies take 25% increased M.DMG",2,2020-06-24 12:44:37.201474,2020-06-24 12:44:37.201474,2,11,1,
6,Emergency Treatment,"Dispels negative effects of all allies and heals a total of 320550 HP for 10 sec while increasing CC Resistance by 250. While Overcharged, all allies' Crit Chance is increased by 250 and gains immunity to CC",2,2020-06-24 12:44:57.979996,2020-06-24 12:44:57.979996,2,17,2,
7,Process of Elimination,"Fires an exploding energy ball to a random target and nearby enemies in range, dealing a total of 621927 M.DMG. When in Overcharge state, deals a total of 146140 M.DMG and inflicts Stun for 5 sec upon explosion",3,2020-06-24 12:45:21.331458,2020-06-24 12:47:16.973747,2,25,3,
8,Charge,"Gains 1 stack of Charge every 0.5 sec, and gains 10 stacks of Charge per every orb of mana used. Upon the 100th Charge stacked, enters Overcharge state. When in Overcharge, ATK is increased by 35622 for 15 sec and each auto attack reduces skill cooldown by 10%. All effects cannot be dispelled, and Charge will not stack during Overcharge state",NULL,2020-06-24 12:45:36.917054,2020-06-24 12:47:30.799617,2,NULL,4,
9,Celestial Arrow,"Deals 193398 M.DMG to 3 enemies and push them back, leaving a Judgment Sigil on them for 15 sec. Deals additional ??? M.DMG to Non-Hero enemies and causes them to take 25% increased M.DMG for 10 sec",2,2020-06-24 12:46:04.515065,2020-06-24 12:46:04.515065,3,6,1,
10,Purifying Blaze,"Deals 382266 M.DMG to frontal enemies in a straight line. Deals additional 729969 M.DMG that ignores DEF to targets with Judgment Sigil, and reduces their Heal Rate by 50% for 10 sec",3,2020-06-24 12:46:24.315062,2020-06-24 12:46:24.315062,3,15,2,
11,Arbiter,"Deals 541319 M.DMG to the target and enemies in a nearby range. Enemies with Judgment Sigil take 50% increased M.DMG and become silenced for 5 sec. Afterward, grants immunity to M.DMG to all allies for 5 sec",4,2020-06-24 12:46:45.16422,2020-06-24 12:47:23.594096,3,25,3,
12,The Last Judgment,"Every 15 sec, deals 154780 M.DMG ignoring DEF to enemies inflicted by Judgement Sigil. Once during every battle, upon reaching near death HP, deals 330835 M.DMG to enemies inflicted by Judgement Sigils and stuns them for 3 sec, while casting a shield that blocks 563411 DMG to all allies for 5 sec. Gains immunity to CC while the shield is in effect. When the shield effect takes place, consumes all mana, and all skill cooldown is increased by 50%",NULL,2020-06-24 12:47:03.997115,2020-06-24 12:47:36.921584,3,NULL,4,
13,Pillar of Light,"Places a Pillar of Light on target enemy, dealing a total of 366050 M.DMG for 3 sec and reducing enemy ATK by 20% for 10 sec",2,2020-06-24 17:15:33.294653,2020-06-24 17:15:33.294653,4,7,1,
14,Critical Intensity,Deals 359697 M.DMG to frontal enemies in a straight line. This attack's Crit DMG is increased by 100%,3,2020-06-24 17:27:55.156083,2020-06-24 17:27:55.156083,4,14,2,
