id,name,description,avatar,background,created_at,updated_at,slug,type_dmg,icon,role_id
3,Arch,,portrait.png,Loading_Screen.png,2020-06-07 13:42:37.170566,2020-06-16 09:27:33.176821,arch,Magic,magical.png,4
42,May,,portrait.png,Loading_Screen.png,2020-06-07 14:40:23.900438,2020-06-16 09:40:34.882295,may,Magic,magical.png,7
5,Aselica,,portrait.png,Loading_Screen.png,2020-06-07 13:43:12.562846,2020-06-16 08:43:45.156178,aselica,Magic,magical.png,1
13,Clause,,portrait_alt.png,Loading_Screen.png,2020-06-07 13:47:17.331497,2020-06-16 08:57:18.591654,clause,Physical,physical.png,1
17,Demia,,portrait.png,Loading_Screen.png,2020-06-07 13:48:44.864507,2020-06-16 08:57:38.362647,demia,Physical,physical.png,1
19,Dosarta,,portrait.png,Loading_Screen.png,2020-06-07 13:49:28.872842,2020-06-16 08:58:01.600298,dosarta,Magic,magical.png,1
37,Loman,,portrait.png,Loading_Screen.png,2020-06-07 14:38:32.90653,2020-06-16 09:03:52.556122,loman,Physical,physical.png,1
47,Morrah,,portrait.png,Loading_Screen.png,2020-06-07 14:42:52.463409,2020-06-16 09:06:05.474325,morrah,Magic,magical.png,1
49,Neraxis,,portrait.png,Loading_Screen.png,2020-06-07 14:43:36.403646,2020-06-16 09:06:18.972353,neraxis,Magic,magical.png,1
57,Phillop,,portrait.png,Loading_Screen.png,2020-06-07 14:48:07.49253,2020-06-16 09:06:36.927018,phillop,Physical,physical.png,1
7,Bernheim,,portrait_alt.png,Loading_Screen.png,2020-06-07 13:44:21.707812,2020-06-16 09:08:43.941497,bernheim,Magic,magical.png,2
11,Chase,,portrait.png,Loading_Screen.png,2020-06-07 13:46:30.328903,2020-06-16 09:09:56.030153,chase,Physical,physical.png,2
26,Kasel,,portrait.png,Loading_Screen.png,2020-06-07 14:34:10.563344,2020-06-16 09:14:12.250065,kasel,Physical,physical.png,2
29,Kirze,,portrait.png,Kirze.jpg,2020-06-07 14:35:36.133368,2020-06-16 09:14:31.889769,kirze,Magic,magical.png,2
48,Naila,,portrait.png,Loading_Screen.png,2020-06-07 14:43:12.312122,2020-06-16 09:14:49.573851,naila,Physical,physical.png,2
51,Nicky,,portrait.png,Loading_Screen.png,2020-06-07 14:45:52.39959,2020-06-16 09:15:08.3252,nicky,Physical,physical.png,2
58,Priscilla,,portrait.png,Loading_Screen.png,2020-06-07 14:48:26.393836,2020-06-16 09:15:51.593871,priscilla,Physical,physical.png,2
20,Epis,,portrait.png,Loading_Screen.png,2020-06-07 13:49:58.265301,2020-06-16 09:17:13.72506,epis,Magic,magical.png,3
21,Erze,,portrait.png,Loading_Screen.png,2020-06-07 13:50:31.413555,2020-06-16 09:17:27.899465,erze,Physical,physical.png,3
32,Laudia,,portrait.png,Loading_Screen.png,2020-06-07 14:36:38.235339,2020-06-16 09:25:57.670166,laudia,Magic,magical.png,3
28,Kibera,,portrait.png,Kibera.png,2020-06-07 14:35:04.445065,2020-06-16 09:25:40.660285,kibera,Magic,magical.png,3
44,Mirianne,,portrait.png,Loading_Screen.png,2020-06-07 14:41:36.272165,2020-06-16 09:26:15.4611,mirianne,Magic,magical.png,3
50,Nia,,portrait.png,Loading_Screen.png,2020-06-07 14:43:57.151737,2020-06-16 09:26:32.199247,nia,Physical,physical.png,3
18,Dimael,,portrait.png,Loading_Screen.png,2020-06-07 13:49:12.149107,2020-06-16 09:27:49.334197,dimael,Magic,magical.png,4
40,Luna,,portrait.png,Loading_Screen.png,2020-06-07 14:39:45.406889,2020-06-16 09:28:06.927661,luna,Magic,magical.png,4
2,Annette,,portrait.png,Loading_Screen.png,2020-06-07 13:42:05.74031,2020-06-16 09:29:49.567342,annette,Magic,magical.png,5
10,Cecilia,,portrait.png,Loading_Screen.png,2020-06-07 13:46:08.937778,2020-06-16 09:30:05.290753,cecilia,Physical,physical.png,5
12,Chrisha,,portrait.png,Loading_Screen.png,2020-06-07 13:46:50.291933,2020-06-16 09:30:23.308252,chrisha,Magic,magical.png,5
15,Crow,,portrait.png,Loading_Screen.png,2020-06-07 13:47:59.25172,2020-06-16 09:30:36.247167,crow,Physical,physical.png,5
25,Kara,,portrait.png,Loading_Screen.png,2020-06-07 14:33:46.057975,2020-06-16 09:31:04.267861,kara,Magic,magical.png,5
31,Lakrak,,portrait.png,Loading_Screen.png,2020-06-07 14:36:16.680901,2020-06-16 09:31:22.830376,lakrak,Physical,physical.png,5
45,Miruru,,portrait.png,Loading_Screen.png,2020-06-07 14:41:57.91054,2020-06-16 09:31:40.605978,miruru,Physical,physical.png,5
46,Mitra,,portrait.png,Loading_Screen.png,2020-06-07 14:42:27.977652,2020-06-16 09:31:53.595543,mitra,Physical,physical.png,5
53,Oddy,,portrait.png,Loading_Screen.png,2020-06-07 14:46:35.079937,2020-06-16 09:32:10.735351,oddy,Magic,magical.png,5
55,Pansirone,,portrait.png,Pansirona.png,2020-06-07 14:47:31.265247,2020-06-16 09:33:07.323891,pansirone,Physical,physical.png,5
1,Aisha,,portrait.png,Loading_Screen.png,2020-06-07 12:29:44.963669,2020-06-16 09:33:37.857913,aisha,Magic,magical.png,6
4,Artemia,,portrait.png,Loading_Screen.png,2020-06-07 13:42:56.974227,2020-06-16 09:33:51.255851,artemia,Magic,magical.png,6
8,Cain,,portrait.png,Cain.png,2020-06-07 13:45:11.652127,2020-06-16 09:34:05.173604,cain,Physical,physical.png,6
14,Cleo,,portrait.png,Loading_Screen.png,2020-06-07 13:47:36.769534,2020-06-16 09:34:19.495504,cleo,Magic,magical.png,6
16,Dakaris,,portrait.png,Loading_Screen.jpg,2020-06-07 13:48:23.860813,2020-06-16 09:34:37.780726,dakaris,Magic,magical.png,6
22,Esker,,portrait.png,Loading_Screen.png,2020-06-07 13:50:58.161534,2020-06-16 09:34:53.625225,esker,Magic,magical.png,6
