id,name,description,tier,set,created_at,updated_at,gear_type,char_id,stat_id,role_id,gear_skill
1,Plate Armor,2Set:(Crit +100) 4Set:(Crit +130),T6,Opportune Fire,2020-06-08 08:44:59.54946,2020-06-16 10:06:51.963086,1-1H,NULL,62,NULL,
2,Plate Armor,2Set:(Crit +100) 4Set:(Crit +130),T7,Opportune Fire,2020-06-08 08:45:09.137112,2020-06-16 10:07:00.906133,1-1H,NULL,73,NULL,
3,Plate Armor,2Set:(Crit +100) 4Set:(Crit +130),T8,Opportune Fire,2020-06-08 08:45:13.941524,2020-06-16 10:07:10.296107,1-1H,NULL,84,NULL,
4,Plate Armor,2Set:(Max HP +10%) 4Set:(Max HP +13%),T6,Gritty Frost,2020-06-08 08:45:32.198895,2020-06-16 10:07:16.164019,1-1H,NULL,62,NULL,
5,Plate Armor,2Set:(Max HP +10%) 4Set:(Max HP +13%),T7,Gritty Frost,2020-06-08 08:45:35.764365,2020-06-16 10:07:21.520148,1-1H,NULL,73,NULL,
6,Plate Armor,2Set:(Max HP +10%) 4Set:(Max HP +13%),T8,Gritty Frost,2020-06-08 08:45:39.186718,2020-06-16 10:07:31.491676,1-1H,NULL,84,NULL,
7,Plate Armor,2Set:(Crit Resistance +100) 4Set:(Crit Resistance +130),T6,Unrelenting Poison,2020-06-08 08:45:57.564252,2020-06-16 10:07:37.570518,1-1H,NULL,62,NULL,
8,Plate Armor,2Set:(Crit Resistance +100) 4Set:(Crit Resistance +130),T7,Unrelenting Poison,2020-06-08 08:46:01.562728,2020-06-16 10:07:44.424896,1-1H,NULL,73,NULL,
9,Plate Armor,2Set:(Crit Resistance +100) 4Set:(Crit Resistance +130),T8,Unrelenting Poison,2020-06-08 08:46:04.759401,2020-06-16 10:07:54.143786,1-1H,NULL,84,NULL,
10,Plate Armor,2Set:(MP Recovery/Attack +200) 4Set:(MP Recovery/Attack +260),T6,Swift Darkness,2020-06-08 08:46:19.809358,2020-06-16 10:08:01.353477,1-1H,NULL,62,NULL,
11,Plate Armor,2Set:(MP Recovery/Attack +200) 4Set:(MP Recovery/Attack +260),T7,Swift Darkness,2020-06-08 08:46:22.495877,2020-06-16 10:08:07.128607,1-1H,NULL,73,NULL,
12,Plate Armor,2Set:(MP Recovery/Attack +200) 4Set:(MP Recovery/Attack +260),T8,Swift Darkness,2020-06-08 08:46:25.44501,2020-06-16 10:08:13.710584,1-1H,NULL,84,NULL,
